species,breed,heartRate,respiration,temperature,anomaly_class
dog,Poodle,87.1,10.3,38.3,0
cat,Maine Coon,143.7,26.5,39.0,0
dog,Bulldog,91.2,26.8,38.0,0
dog,German Shepherd,93.1,21.2,37.6,0
dog,Beagle,88.0,10.4,38.8,0
dog,Bulldog,88.4,16.1,38.3,0
dog,Labrador,89.9,14.2,37.8,0
cat,Persian,129.6,38.6,38.8,0
cat,Maine Coon,197.0,16.1,38.9,0
dog,Poodle,75.6,14.8,37.5,0
cat,Siamese,213.0,32.5,38.4,0
cat,Maine Coon,181.7,23.6,38.8,0
dog,Beagle,96.1,29.8,38.6,0
dog,German Shepherd,83.4,20.1,40.9,3
dog,Poodle,69.0,23.3,38.6,0
dog,Bulldog,125.6,21.8,37.7,1
dog,German Shepherd,92.9,11.1,38.1,0
dog,Labrador,76.6,18.6,38.3,0
dog,German Shepherd,72.5,18.9,37.7,0
dog,Beagle,71.3,20.6,37.6,0
cat,Maine Coon,150.7,34.6,39.1,0
dog,German Shepherd,94.4,23.8,38.9,0
dog,Bulldog,93.4,17.4,38.1,0
dog,Siberian Husky,95.3,26.5,38.6,0
dog,German Shepherd,80.9,21.0,37.6,0
dog,Bulldog,77.3,24.4,38.3,0
dog,Bulldog,76.7,25.2,38.1,0
dog,Siberian Husky,81.1,24.7,38.8,0
dog,Labrador,80.9,29.5,40.1,3
cat,Persian,136.2,18.9,39.2,0
cat,Persian,146.2,38.9,38.1,0
dog,Poodle,83.9,18.7,39.0,0
dog,Labrador,65.7,27.6,38.4,0
dog,German Shepherd,79.7,26.7,37.7,0
dog,Bulldog,83.9,18.6,38.0,0
cat,Persian,165.3,19.7,39.1,0
dog,Siberian Husky,98.7,19.1,38.7,0
cat,Bengal,212.1,17.2,38.2,0
dog,German Shepherd,95.2,20.3,38.3,0
cat,Maine Coon,139.4,36.3,38.7,0
cat,Siamese,203.3,28.9,38.6,0
dog,German Shepherd,68.2,21.8,37.8,0
cat,Persian,196.8,28.1,39.0,0
dog,Poodle,61.8,16.5,38.1,0
cat,Maine Coon,155.9,26.9,38.0,0
cat,Sphynx,161.9,25.6,38.7,0
cat,Maine Coon,140.3,38.0,39.0,0
dog,Poodle,65.0,28.7,38.4,0
dog,Labrador,86.2,14.0,38.0,0
cat,Persian,197.4,27.3,38.4,0
cat,Persian,166.7,32.9,38.4,0
dog,Labrador,79.9,16.1,38.9,0
dog,Siberian Husky,78.0,26.5,37.6,0
cat,Siamese,430.1,32.4,39.0,1
cat,Sphynx,139.6,27.2,39.0,0
dog,Beagle,66.7,17.6,38.0,0
dog,Bulldog,72.4,26.5,38.9,0
cat,Bengal,191.8,24.1,38.7,0
dog,Siberian Husky,73.3,20.8,38.2,0
dog,Bulldog,61.2,23.8,38.2,0
dog,Labrador,161.5,18.6,38.4,1
dog,German Shepherd,88.4,10.4,37.6,0
cat,Siamese,172.2,19.9,38.5,0
dog,Poodle,72.9,15.2,38.2,0
dog,Siberian Husky,85.7,28.0,38.3,0
cat,Bengal,149.0,28.8,39.0,0
cat,Siamese,155.5,22.2,38.3,0
cat,Maine Coon,192.4,24.0,38.8,0
dog,Poodle,97.0,22.9,38.1,0
cat,Maine Coon,198.7,37.0,38.9,0
dog,Labrador,68.0,11.9,37.7,0
dog,Siberian Husky,71.6,25.7,37.7,0
dog,Bulldog,82.6,18.8,38.7,0
cat,Siamese,188.6,32.3,38.7,0
cat,Siamese,142.9,31.5,38.4,0
cat,Siamese,175.9,17.4,38.8,0
dog,Bulldog,90.6,23.6,38.7,0
dog,Labrador,84.9,25.6,38.4,0
cat,Siamese,154.0,17.6,38.6,0
cat,Maine Coon,171.9,35.7,39.1,0
cat,Siamese,142.6,31.3,38.5,0
dog,Poodle,64.9,12.9,37.5,0
cat,Persian,127.9,22.9,38.4,0
cat,Bengal,209.0,27.8,38.7,0
cat,Siamese,208.4,24.1,38.7,0
cat,Persian,157.1,32.7,38.6,0
dog,Beagle,91.3,16.0,38.3,0
dog,Siberian Husky,83.6,24.4,38.9,0
cat,Persian,183.3,17.3,38.4,0
cat,Siamese,157.6,39.6,38.8,0
cat,Maine Coon,166.3,20.5,39.0,0
cat,Siamese,138.3,32.3,38.9,0
cat,Persian,126.3,37.0,38.7,0
cat,Bengal,179.8,34.7,38.4,0
cat,Siamese,169.5,26.4,38.5,0
dog,Bulldog,75.8,19.2,38.7,0
cat,Persian,184.0,38.8,39.2,0
cat,Persian,212.8,24.1,38.9,0
cat,Maine Coon,185.5,27.1,38.2,0
cat,Maine Coon,185.3,27.3,38.2,0
dog,German Shepherd,65.9,14.1,38.0,0
cat,Siamese,145.9,27.7,38.8,0
cat,Persian,153.7,31.7,39.1,0
dog,Siberian Husky,89.7,26.1,38.8,0
cat,Persian,193.6,39.9,38.9,0
cat,Siamese,134.0,24.6,39.1,0
cat,Maine Coon,188.8,39.0,38.6,0
cat,Persian,204.4,34.4,38.5,0
cat,Maine Coon,135.1,34.8,38.1,0
dog,German Shepherd,73.3,28.0,37.6,0
dog,Labrador,93.4,29.2,38.7,0
dog,Poodle,77.1,12.8,37.5,0
dog,Siberian Husky,85.0,16.8,37.7,0
cat,Sphynx,141.8,22.6,38.8,0
dog,German Shepherd,81.1,14.0,37.7,0
cat,Siamese,149.4,28.7,39.0,0
cat,Siamese,197.5,24.1,38.8,0
dog,Labrador,98.1,28.2,38.6,0
cat,Sphynx,194.4,28.8,38.7,0
cat,Siamese,306.6,27.1,38.2,1
dog,Labrador,70.9,18.0,39.0,0
cat,Siamese,124.6,19.8,38.5,0
dog,Labrador,74.5,12.5,37.9,0
dog,Siberian Husky,64.0,28.2,37.8,0
dog,Poodle,71.3,10.0,37.7,0
dog,Labrador,77.8,19.8,38.0,0
cat,Sphynx,169.0,18.1,38.9,0
dog,Poodle,67.3,16.1,38.3,0
dog,Labrador,137.2,11.0,38.9,1
cat,Sphynx,188.1,24.2,38.4,0
cat,Bengal,131.2,31.2,38.3,0
cat,Maine Coon,120.4,39.4,38.9,0
cat,Sphynx,196.8,34.2,38.7,0
cat,Maine Coon,152.0,19.6,39.0,0
dog,German Shepherd,92.2,25.8,38.4,0
dog,Siberian Husky,84.4,10.8,38.9,0
dog,Poodle,87.6,24.5,38.5,0
cat,Maine Coon,290.1,38.4,38.9,1
dog,Bulldog,71.7,17.5,38.3,0
cat,Sphynx,151.6,35.2,38.9,0
dog,German Shepherd,65.7,25.3,38.7,0
cat,Siamese,203.8,39.1,38.0,0
dog,Beagle,74.2,26.5,38.6,0
cat,Sphynx,159.0,25.3,38.3,0
dog,Bulldog,63.5,12.1,38.4,0
dog,Beagle,66.1,15.4,38.4,0
dog,Siberian Husky,80.2,10.3,38.0,0
dog,Bulldog,69.3,15.3,38.3,0
dog,Bulldog,71.2,11.1,38.7,0
dog,Labrador,92.5,23.6,38.4,0
cat,Bengal,127.7,17.4,38.6,0
cat,Siamese,214.4,33.0,38.5,0
cat,Maine Coon,204.7,19.8,38.0,0
cat,Bengal,173.7,33.2,38.2,0
dog,Beagle,96.5,22.3,38.8,0
cat,Persian,123.8,27.8,39.1,0
dog,Siberian Husky,81.9,20.6,38.4,0
cat,Siamese,143.9,26.7,39.1,0
cat,Siamese,205.0,29.6,38.2,0
cat,Siamese,166.1,35.4,38.4,0
cat,Bengal,153.2,33.9,38.7,0
dog,Siberian Husky,65.0,22.0,38.3,0
dog,Labrador,99.6,14.2,37.5,0
cat,Persian,131.2,20.5,38.6,0
cat,Sphynx,215.8,35.7,38.8,0
cat,Sphynx,198.9,34.6,38.9,0
cat,Maine Coon,179.9,31.3,38.9,0
dog,German Shepherd,83.7,27.7,38.5,0
dog,Labrador,60.3,14.4,37.6,0
cat,Maine Coon,152.7,32.8,38.5,0
dog,Labrador,79.0,23.8,38.4,0
dog,German Shepherd,85.9,18.4,38.2,0
cat,Sphynx,212.2,32.6,38.3,0
cat,Sphynx,176.8,35.5,38.9,0
cat,Sphynx,197.1,28.4,38.5,0
dog,German Shepherd,83.5,28.7,38.6,0
cat,Bengal,158.4,17.7,39.0,0
dog,Labrador,72.7,13.4,38.3,0
cat,Siamese,168.0,27.6,38.4,0
cat,Siamese,159.5,23.6,38.1,0
dog,Labrador,74.3,28.3,38.3,0
cat,Siamese,126.5,17.9,38.9,0
cat,Siamese,183.9,37.1,39.2,0
dog,Bulldog,89.5,27.6,38.2,0
dog,Labrador,90.6,25.8,38.5,0
dog,Siberian Husky,98.9,13.6,38.8,0
cat,Sphynx,138.4,34.0,38.9,0
dog,Labrador,76.8,16.3,37.6,0
dog,German Shepherd,84.1,11.2,38.1,0
dog,Siberian Husky,97.1,20.4,38.2,0
cat,Maine Coon,133.0,18.7,38.6,0
dog,Labrador,94.3,28.0,38.9,0
cat,Persian,207.0,27.2,38.8,0
cat,Siamese,206.4,34.6,38.2,0
dog,Labrador,75.2,18.8,38.2,0
cat,Persian,139.3,32.5,38.3,0
cat,Persian,149.6,19.9,38.6,0
cat,Persian,211.0,21.2,39.0,0
cat,Persian,192.4,30.6,38.6,0
dog,Siberian Husky,90.6,21.7,37.6,0
cat,Sphynx,181.1,23.6,38.9,0
cat,Maine Coon,193.2,34.0,38.9,0
dog,Poodle,60.2,29.5,38.2,0
cat,Maine Coon,155.4,29.8,38.5,0
cat,Siamese,133.8,21.9,38.2,0
cat,Siamese,187.9,30.0,38.7,0
cat,Sphynx,139.4,30.9,38.4,0
cat,Persian,162.9,34.9,38.9,0
cat,Siamese,166.4,21.0,38.7,0
cat,Persian,188.0,32.9,39.2,0
cat,Siamese,177.6,65.9,38.2,2
cat,Siamese,163.5,32.8,38.9,0
cat,Bengal,129.1,17.2,39.0,0
cat,Persian,194.4,25.8,39.2,0
dog,Beagle,69.6,18.9,37.9,0
dog,German Shepherd,152.6,16.6,38.2,1
dog,Poodle,88.9,15.6,37.5,0
cat,Maine Coon,214.6,29.5,39.0,0
cat,Maine Coon,131.2,33.4,39.1,0
dog,Poodle,71.4,11.4,38.0,0
dog,Beagle,94.1,27.3,38.7,0
dog,Siberian Husky,86.6,13.1,37.7,0
cat,Siamese,196.0,24.3,38.2,0
dog,German Shepherd,99.2,12.9,38.6,0
cat,Bengal,145.1,19.8,40.0,3
dog,Labrador,87.6,23.8,38.9,0
dog,Siberian Husky,63.8,21.8,38.4,0
cat,Sphynx,172.7,36.4,38.1,0
cat,Maine Coon,123.9,16.8,38.1,0
dog,Labrador,83.4,15.1,38.9,0
dog,Labrador,75.6,83.8,38.2,2
cat,Maine Coon,151.8,32.9,38.9,0
cat,Bengal,156.5,21.1,38.6,0
dog,Poodle,62.5,22.0,38.4,0
dog,Beagle,65.2,61.7,37.5,2
dog,Bulldog,79.9,29.0,40.9,3
dog,Beagle,95.7,19.3,38.0,0
dog,Labrador,64.1,20.7,38.1,0
dog,Siberian Husky,84.5,17.1,40.9,3
cat,Persian,278.1,34.0,38.2,1
cat,Maine Coon,127.8,18.9,39.2,0
dog,German Shepherd,99.1,14.0,38.5,0
cat,Persian,182.5,35.2,38.1,0
dog,Labrador,74.5,14.3,38.9,0
dog,Poodle,63.2,25.5,37.7,0
cat,Siamese,129.0,20.3,39.2,0
cat,Siamese,123.0,30.5,38.4,0
dog,Beagle,95.2,26.2,38.5,0
dog,Poodle,94.3,23.7,38.8,0
cat,Bengal,176.0,20.0,38.3,0
dog,Beagle,99.9,17.4,38.2,0
cat,Persian,203.2,26.1,39.1,0
dog,Siberian Husky,83.8,22.3,38.4,0
dog,German Shepherd,93.7,19.7,38.7,0
dog,Siberian Husky,91.1,26.6,38.0,0
cat,Maine Coon,172.8,32.9,39.0,0
dog,Bulldog,82.4,16.4,37.8,0
dog,Bulldog,91.0,19.7,37.8,0
dog,Bulldog,72.3,20.9,38.1,0
cat,Bengal,200.7,22.6,38.9,0
cat,Bengal,170.1,25.2,38.6,0
dog,Beagle,91.0,18.1,38.4,0
dog,Bulldog,91.7,28.4,38.5,0
dog,Siberian Husky,65.5,28.0,38.8,0
cat,Sphynx,206.5,25.4,38.5,0
cat,Maine Coon,180.9,30.6,38.4,0
dog,Siberian Husky,63.8,30.0,38.0,0
cat,Sphynx,207.1,21.1,38.5,0
dog,Labrador,67.8,13.3,38.9,0
cat,Siamese,191.3,37.9,39.1,0
cat,Bengal,218.4,20.6,38.5,0
dog,German Shepherd,89.1,30.0,39.0,0
dog,Poodle,67.2,20.8,37.9,0
dog,Siberian Husky,75.3,25.5,38.0,0
dog,Bulldog,92.1,27.9,38.3,0
dog,Poodle,90.3,23.8,38.8,0
dog,Beagle,69.5,28.2,38.2,0
dog,Bulldog,90.2,23.0,38.5,0
cat,Sphynx,175.2,20.8,39.0,0
dog,German Shepherd,93.4,25.7,38.7,0
dog,Beagle,98.0,17.9,38.9,0
cat,Siamese,179.8,34.1,38.9,0
dog,Labrador,93.8,15.2,40.8,3
dog,Siberian Husky,78.4,26.4,38.9,0
dog,Bulldog,68.0,10.8,38.5,0
dog,German Shepherd,87.1,20.9,38.2,0
cat,Maine Coon,210.8,26.0,38.4,0
cat,Siamese,219.6,25.3,39.1,0
dog,German Shepherd,70.3,26.4,38.8,0
cat,Bengal,196.1,20.4,38.2,0
dog,Poodle,81.6,16.2,38.4,0
dog,Beagle,68.8,29.5,38.0,0
cat,Siamese,172.3,17.0,38.4,0
cat,Persian,159.9,20.5,38.2,0
cat,Siamese,163.2,26.0,38.1,0
cat,Bengal,178.1,32.6,39.1,0
dog,German Shepherd,80.6,26.2,37.9,0
cat,Persian,205.3,33.6,38.7,0
cat,Persian,164.5,39.7,38.8,0
dog,Poodle,80.9,15.7,38.7,0
dog,German Shepherd,65.1,16.2,38.3,0
dog,Bulldog,80.2,16.7,38.6,0
dog,Beagle,78.7,15.9,38.8,0
cat,Persian,202.1,35.5,38.4,0
dog,Labrador,67.4,28.7,39.0,0
cat,Sphynx,204.7,26.0,38.0,0
cat,Siamese,180.6,21.8,38.6,0
cat,Maine Coon,194.7,26.7,39.1,0
dog,Labrador,97.2,19.7,38.2,0
cat,Bengal,182.8,37.5,39.0,0
dog,Siberian Husky,74.9,22.4,38.4,0
